from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0622_tl16,mot_0622_tl17,mot_0622,mot_0622,1831,1838,6,5.14,1.06,17.14,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl16,mot_0622_tl18,mot_0622,mot_0622,1831,1840,8,6.65,1.06,22.65,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl17,mot_0622_tl18,mot_0622,mot_0622,1838,1840,1,1.98,1.01,3.98,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl17,mot_0622_tl19,mot_0622,mot_0622,1838,1846,7,6.62,1.11,20.62,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl17,mot_0670_tl01,mot_0622,mot_0670,1838,1844,5,1149.18,1.47,1162.18,REJECT_DISTANCE,PENDING_REVIEW
mot_0622_tl18,mot_0622_tl19,mot_0622,mot_0622,1844,1846,1,0.27,1.03,2.27,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl20,mot_0622_tl21,mot_0622,mot_0622,1858,1864,5,6.99,1.08,16.99,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl21,mot_0622_tl22,mot_0622,mot_0622,1872,1874,1,1.15,1.02,3.15,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl22,mot_0622_tl23,mot_0622,mot_0622,1884,1886,1,0.87,1.02,2.87,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl22,mot_0622_tl24,mot_0622,mot_0622,1884,1888,3,4.13,1.04,10.13,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl23,mot_0622_tl24,mot_0622,mot_0622,1886,1888,1,5.22,1.03,7.22,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0670_tl01,mot_0670_tl02,mot_0670,mot_0670,1919,1921,1,1.71,1.13,3.71,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl24,mot_0622_tl25,mot_0622,mot_0622,1936,1940,3,0.78,1.01,6.78,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl24,mot_0622_tl26,mot_0622,mot_0622,1936,1944,7,1.88,1.05,15.88,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl25,mot_0622_tl26,mot_0622,mot_0622,1940,1944,3,3.65,1.04,9.65,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0566_tl01,mot_0621_tl03,mot_0566,mot_0621,1979,1983,3,1006.79,1.13,1015.79,REJECT_DISTANCE,PENDING_REVIEW
mot_0621_tl02,mot_0621_tl03,mot_0621,mot_0621,1981,1983,1,0.37,1.01,2.37,ACCEPT_CANDIDATE,AUTO_ACCEPT
